stream,clients,commands,elapsed_ms,tps,command_ms,txn_ms
True,8,10,406.75017,19668.092578793512,0.040675017,0.40675017
True,8,15,410.19596,19502.873699682463,0.027346397333333335,0.41019596
True,8,20,454.0225833333334,17620.268888974133,0.02270112916666667,0.4540225833333334
True,8,25,488.32525333333336,16382.523626192968,0.019533010133333334,0.4883252533333334
True,8,30,514.44451,15550.753957895284,0.017148150333333334,0.51444451
True,16,1,408.94550333333336,39125.01756244603,0.40894550333333335,0.40894550333333335
True,16,2,425.84923333333336,37571.982635168926,0.21292461666666668,0.42584923333333335
True,16,5,434.17006666666674,36851.91870282474,0.08683401333333335,0.43417006666666674
True,16,10,473.79605999999995,33769.803826566225,0.047379606,0.47379605999999996
True,16,15,496.16841666666664,32247.115016893626,0.03307789444444444,0.49616841666666667
True,16,20,546.8349166666667,29259.287423581063,0.027341745833333334,0.5468349166666667
True,16,25,555.5196833333333,28801.85973608316,0.022220787333333332,0.5555196833333333
True,16,30,640.7578633333334,24970.43097803783,0.021358595444444448,0.6407578633333334
True,32,1,580.0304166666666,55169.52056393594,0.5800304166666667,0.5800304166666667
True,32,2,587.3833133333333,54478.905467034216,0.29369165666666663,0.5873833133333333
True,32,5,608.9233633333333,52551.76911726205,0.12178467266666666,0.6089233633333333
True,32,10,707.5603166666666,45225.82633061271,0.07075603166666666,0.7075603166666666
True,32,15,778.90073,41083.54090257433,0.05192671533333333,0.7789007299999999
True,32,20,818.6614833333333,39088.195367035,0.040933074166666666,0.8186614833333333
True,32,25,833.0216833333334,38414.36620467322,0.03332086733333334,0.8330216833333334
True,32,30,927.6635833333333,34495.2637733345,0.030922119444444444,0.9276635833333333
True,64,1,1034.1659133333333,61885.621228526674,1.0341659133333332,1.0341659133333332
True,64,2,1085.0021166666668,58986.06004255567,0.5425010583333334,1.0850021166666668
True,64,5,1105.2269833333332,57906.65715288439,0.22104539666666664,1.1052269833333332
True,64,10,1326.8311333333334,48235.22631641595,0.13268311333333332,1.3268311333333334
True,64,15,1390.0345333333335,46042.02159389996,0.0926689688888889,1.3900345333333335
True,64,20,1511.1748333333335,42351.1552656217,0.07555874166666668,1.5111748333333335
True,64,25,1585.5758333333333,40363.88462446083,0.06342303333333334,1.5855758333333334
True,64,30,1645.0728333333334,38904.05257639555,0.05483576111111111,1.6450728333333333
